Team,wlt,wltPts,glsTotal,glsDifference,adjGoals,adjGoalsPts,adjGoalsTotal,adjGoalsDifference,shotXg,shotXgPts,shotXgTotal,shotXgDifference,nonshotXg,nonshotXgPts,nonshotXgTotal,nonshotXgDifference,optaXg,optaXgPts,optaXgTotal,optaXgDifference,xgt,xgtPts,xgtTotal,xgtDifference,xgp,xgpPts,xgpTotal,xgpDifference,fbrefXg,fbrefXgPts,fbrefXgTotal,fbrefXgDifference,xPts
DCU,"[1, 2, 0]",3,3,-3,"[1, 2, 0]",3,3.2,-2.8,"[2, 1, 0]",6,2.3,0.0,"[1, 1, 1]",4,3.0,0.2,"[1, 1, 1]",4,2.4,-0.6,"[2, 1, 0]",6,2.16,-0.28,"[2, 1, 0]",6,2.19,-0.26,"[1, 1, 1]",4,2.5,-0.8,3.53
LAFC,"[1, 0, 2]",5,4,2,"[1, 0, 2]",5,3.8,1.6,"[2, 1, 0]",6,4.6,1.6,"[3, 0, 0]",9,6.3,3.3,"[1, 1, 1]",4,4.7,1.6,"[1, 2, 0]",3,4.20,1.19,"[1, 2, 0]",3,4.20,1.12,"[2, 1, 0]",6,4.6,1.8,4.70
VAN,"[1, 1, 1]",4,3,0,"[1, 1, 1]",4,3.2,0.0,"[0, 3, 0]",0,3.2,-2.1,"[1, 2, 0]",3,3.1,-0.8,"[1, 2, 0]",3,3.5,-1.9,"[1, 2, 0]",3,3.07,-1.64,"[0, 3, 0]",0,3.09,-1.88,"[0, 2, 1]",1,2.9,-1.7,2.94
CHI,"[0, 2, 1]",1,3,-4,"[0, 2, 1]",1,3.2,-3.8,"[1, 2, 0]",3,3.9,-1.4,"[0, 3, 0]",0,3.7,-2.3,"[1, 2, 0]",3,3.9,-1.3,"[1, 2, 0]",3,3.41,-1.18,"[1, 2, 0]",3,3.43,-1.28,"[1, 2, 0]",3,3.9,-0.8,3.11
CLB,"[0, 0, 2]",2,0,0,"[0, 0, 2]",2,0,0,"[1, 1, 0]",3,1.4,-0.8,"[0, 2, 0]",0,1.1,-3.5,"[1, 1, 0]",3,1.5,-0.6,"[1, 1, 0]",3,1.46,-1.55,"[1, 1, 0]",3,1.63,-1.38,"[1, 1, 0]",3,1.7,-0.9,1.62
HOU,"[1, 1, 1]",4,4,0,"[1, 1, 1]",4,4.3,0.0,"[1, 2, 0]",3,3.2,-2.0,"[1, 2, 0]",3,3.1,-1.8,"[0, 2, 1]",1,3.8,-1.1,"[2, 1, 0]",6,3.25,-0.93,"[2, 1, 0]",6,3.35,-0.98,"[1, 2, 0]",3,3.3,-2.2,3.45
MTL,"[1, 0, 2]",5,6,2,"[1, 0, 2]",5,6.3,2.1,"[1, 2, 0]",3,2.7,-2.5,"[1, 2, 0]",3,4.5,1.4,"[1, 2, 0]",3,2.9,-2.7,"[1, 2, 0]",3,3.88,-0.76,"[1, 2, 0]",3,3.88,-0.85,"[1, 2, 0]",3,3.9,-0.8,4.01
RSL,"[2, 0, 0]",6,5,3,"[2, 0, 0]",6,5.1,2.9,"[1, 1, 0]",3,2.9,0.6,"[1, 1, 0]",3,1.8,-1.0,"[1, 0, 1]",4,2.9,0.9,"[1, 1, 0]",3,2.51,0.55,"[1, 1, 0]",3,2.51,0.53,"[2, 0, 0]",6,3.5,1.6,3.24
PHI,"[0, 2, 1]",1,1,-3,"[0, 2, 1]",1,1.1,-2.9,"[0, 2, 1]",1,2.5,-2.5,"[2, 1, 0]",6,4.3,-1.8,"[1, 2, 0]",3,2.1,-2.5,"[1, 2, 0]",3,2.34,-2.08,"[1, 2, 0]",3,2.35,-2.26,"[1, 2, 0]",3,2.5,-2.4,2.81
TFC,"[0, 1, 0]",0,2,-2,"[0, 1, 0]",0,2.1,-2.1,"[1, 0, 0]",3,2.3,1.3,"[1, 0, 0]",3,1.1,0.4,"[1, 0, 0]",3,2.5,1.5,"[1, 0, 0]",3,2.02,0.50,"[1, 0, 0]",3,2.02,0.50,"[1, 0, 0]",3,2,0.3,1.67
SJ,"[2, 1, 0]",6,8,4,"[2, 1, 0]",6,8.1,3.8,"[1, 2, 0]",3,5.1,0.4,"[0, 3, 0]",0,2.2,-2.1,"[2, 1, 0]",6,6.1,1.8,"[1, 2, 0]",3,4.98,1.04,"[1, 2, 0]",3,5.16,0.92,"[1, 2, 0]",3,5.5,0.6,4.80
ORL,"[1, 0, 2]",5,4,3,"[1, 0, 2]",5,4.0,2.9,"[3, 0, 0]",9,4.6,2.6,"[2, 1, 0]",6,5.5,2.0,"[2, 1, 0]",6,4.3,1.9,"[3, 0, 0]",9,4.98,2.85,"[3, 0, 0]",9,5.11,2.97,"[3, 0, 0]",9,5.3,2.8,6.11
